47	100	27	81	57	37	26	0	0	23	56	53	100	90	40	98	-35.523	-2.4481	8
0	89	27	100	42	75	29	45	15	15	37	0	69	2	100	6	22.323	24.055	2
0	57	31	68	72	90	100	100	76	75	50	51	28	25	16	0	12.179	-6.1968	1
0	100	7	92	5	68	19	45	86	34	100	45	74	23	67	0	-12.076	18.762	4
0	67	49	83	100	100	81	80	60	60	40	40	33	20	47	0	18.577	-6.3128	1
100	100	88	99	49	74	17	47	0	16	37	0	73	16	20	20	16.125	39.592	6
0	100	3	72	26	35	85	35	100	71	73	97	65	49	66	0	-21.386	15.343	4
0	39	2	62	11	5	63	0	100	43	89	99	36	100	0	57	-26.169	-25.279	0
13	89	12	50	72	38	56	0	4	17	0	61	32	94	100	100	-40.268	19.456	5
74	87	31	100	0	69	62	64	100	79	100	38	84	0	18	1	-7.9243	2.229	9
48	96	62	65	88	27	21	0	21	33	79	67	100	100	0	85	-44.731	-2.844	8
100	100	72	99	36	78	34	54	79	47	64	13	19	0	0	2	2.5584	-5.4324	5
91	74	54	100	0	87	23	59	81	67	100	39	79	4	21	0	-3.3467	2.3279	9
0	85	38	100	81	88	87	50	84	12	58	0	53	22	100	24	28.072	-7.2399	7
35	76	57	100	100	92	68	66	81	38	82	9	32	0	0	17	5.3044	-19.081	3
50	84	66	100	75	75	51	51	100	42	97	13	49	0	0	7	-3.4945	-25.389	3
99	80	63	100	25	76	79	68	100	62	97	23	54	0	0	16	-4.9424	-4.8885	9
24	66	43	100	59	65	34	28	0	1	16	11	58	0	100	1	31.689	25.136	2
0	73	19	99	72	100	70	73	32	48	5	18	46	0	100	0	23.623	4.0755	2
12	77	20	62	78	40	50	0	1	17	0	64	23	98	100	100	-39.153	19.582	5
0	46	49	64	78	87	100	100	91	75	85	49	75	24	89	0	15.371	3.3665	1
10	86	34	66	68	34	34	0	4	26	0	69	34	95	100	100	-41.263	18.25	5
73	62	53	100	0	72	82	39	100	0	15	14	52	57	90	94	-25.428	25.824	8
54	100	34	75	6	43	0	11	70	0	100	28	44	46	36	21	-2.2133	26.958	6
11	100	0	69	15	43	87	47	100	65	74	67	71	33	66	0	-22.284	12.132	4
36	92	7	83	0	37	26	0	77	6	100	46	84	89	36	100	-25.061	-11.789	0
46	100	10	83	34	64	100	77	71	82	49	54	22	27	0	0	-12.916	1.6644	4
61	59	58	100	0	84	44	42	80	0	8	5	33	44	100	70	-24.377	33.643	8
100	84	31	100	0	88	8	70	15	53	15	35	0	17	0	0	14.606	-23.605	1
40	99	51	66	79	26	39	0	0	27	8	77	46	100	100	94	-41.186	15.259	5
0	98	36	100	80	85	68	42	56	0	25	23	50	37	100	32	34.804	-9.8691	7
27	76	1	42	16	0	70	3	100	40	92	84	44	100	0	73	-22.931	-28.094	0
0	0	31	15	63	30	88	52	100	79	82	100	56	82	79	64	-35.975	-29.898	9
30	86	67	100	77	77	53	50	78	40	100	17	56	0	0	5	-0.71089	-33.305	3
29	91	14	57	66	39	30	0	0	19	3	72	39	97	100	100	-42.805	15.106	5
77	97	40	100	0	59	9	29	84	33	100	64	77	44	48	0	-5.9177	14.94	4
64	93	0	67	97	67	89	100	14	70	100	68	96	36	28	0	10.567	-38.829	9
9	93	53	100	89	80	57	52	17	30	0	5	50	2	100	0	32.467	12.391	2
0	93	62	100	100	78	69	43	50	5	35	0	15	35	86	37	28.626	-15.198	7
30	87	16	55	68	41	52	0	0	16	15	63	41	100	100	98	-41.617	17.639	5
60	100	20	76	0	39	10	1	69	0	100	33	56	40	15	10	-5.4845	33.55	6
0	83	29	100	88	95	64	69	73	43	100	13	50	1	10	0	11.136	-31.572	3
5	90	46	98	89	100	100	81	77	59	62	34	37	14	0	0	14.045	-15.754	3
100	99	67	100	24	68	0	32	27	0	99	8	77	40	9	55	6.5506	35.188	6
47	86	73	100	89	75	68	49	100	28	82	4	38	0	0	13	-2.1204	-20.011	3
29	72	45	100	78	78	60	41	25	12	0	4	50	6	100	0	35.518	12.509	2
1	88	0	54	59	31	36	0	11	28	4	68	28	97	100	100	-45.244	20.508	5
63	100	40	73	70	63	100	77	79	74	55	48	29	23	0	0	-3.3471	-11.198	4
11	92	56	100	83	82	52	59	87	39	100	14	55	0	0	0	3.9552	-31.778	3
51	76	68	91	100	100	83	80	59	60	34	40	10	20	0	0	9.9014	-13.421	1
56	99	18	72	0	24	36	0	85	23	100	69	58	100	19	74	-18.906	-16.191	0
0	75	47	87	100	100	91	80	72	60	53	40	35	20	19	0	15.132	-11.375	1
41	96	17	76	50	37	31	0	0	34	1	86	49	98	100	100	-45.106	11.511	5
20	82	62	100	100	81	68	54	82	50	89	19	42	0	0	13	8.4008	-24.541	3
12	78	40	100	74	77	52	41	13	14	0	17	50	8	100	0	32.217	15.089	2
18	73	0	73	10	24	54	0	100	22	95	71	52	100	5	84	-21.223	-24.43	0
57	63	100	100	0	91	36	53	95	16	2	0	5	36	91	67	-12.503	28.792	8
0	84	50	100	72	79	37	52	51	41	100	27	62	3	3	0	4.9173	-40	3
0	100	61	100	100	93	63	64	36	33	14	0	9	29	47	42	23.496	-16.887	7
100	79	67	100	26	76	41	38	47	0	0	8	38	38	96	58	-24.326	33.642	8
37	91	84	100	100	96	52	87	32	57	74	38	41	1	0	0	3.0393	-23.222	5
100	100	58	83	31	55	17	24	43	0	80	19	50	43	0	39	2.9375	41.329	6
94	79	40	100	13	65	59	30	67	0	0	17	45	52	100	83	-24.4	28.978	8
0	82	75	56	100	12	22	0	22	41	92	73	84	100	2	80	-37.22	-6.5898	8
80	100	36	100	58	80	65	82	82	47	100	14	53	0	0	7	-6.7991	-9.2945	9
35	76	0	42	11	0	65	5	100	41	97	85	49	100	9	69	-21.501	-26.879	0
34	100	21	76	0	35	43	30	91	29	100	41	74	46	67	0	-10.455	15.425	4
0	75	31	72	67	84	100	100	94	82	80	54	68	27	56	0	9.8971	2.6189	1
90	71	100	100	25	85	10	50	80	62	99	53	64	17	0	0	-1.7694	-13.458	9
0	97	42	100	67	71	53	35	34	0	16	23	40	42	100	42	41.511	-8.496	7
38	94	4	63	0	20	41	0	84	19	100	60	77	98	32	100	-23.529	-16.221	0
72	100	38	88	2	57	0	19	51	0	100	20	55	34	12	7	-0.19491	30.043	6
26	79	69	100	92	85	56	56	90	42	100	15	51	0	0	2	1.6849	-29.308	3
8	77	47	100	100	96	71	66	100	46	99	13	46	0	0	13	9.5382	-26.079	3
31	73	55	100	55	53	33	14	0	0	30	11	65	1	100	1	29.776	27.365	2
