9.773	7.616	5.4495	-5.5876	-20.172	1.3027	1
10.074	8.2405	5.3132	-6.283	-20.125	0.33974	1
10.136	1.5756	7.7967	-9.5109	-18.598	-3.0196	1
11.226	1.339	6.5605	-9.3153	-21.193	-1.5767	1
6.5657	13.144	2.5383	-4.6905	-20.402	2.5416	1
6.0488	18.615	-1.7214	-5.9941	-17.672	2.155	1
10.248	11.95	6.2206	-9.6663	-20.819	-0.6553	1
5.3494	11.654	4.3857	-2.3403	-21.46	11.704	1
3.9682	12.156	7.5437	-10.64	-17.385	1.9974	1
6.5141	7.438	7.7248	-9.1023	-19.74	-0.64034	1
7.0684	5.995	6.6851	-7.8836	-19.169	-0.9089	1
2.9868	15.616	1.7401	-8.524	-19.197	5.2757	1
6.0489	5.7897	9.9103	-11.627	-18.626	0.4006	1
3.8346	13.481	-0.9412	-1.5369	-13.249	7.2077	1
11.185	13.25	-1.9229	-0.45607	-19.173	3.5551	1
5.2415	11.516	4.1164	-8.1157	-17.67	2.4138	1
12.063	5.9842	4.7233	-3.1357	-19.834	-0.64365	1
7.9617	17.187	-1.1951	-4.3662	-19.695	6.7271	1
14.726	13.673	-2.0395	1.3209	-21.602	4.8911	1
4.8426	9.1938	8.6929	-11.651	-17.779	0.13588	1
7.7879	6.9951	5.6005	-9.1368	-20.2	2.3945	1
4.7845	16.15	-0.28642	-0.75861	-21.438	4.5773	1
4.3322	15.34	-0.80095	-1.5331	-19.28	7.6567	1
-0.36833	14.748	2.9125	-7.8969	-13.125	2.3441	1
0.091731	12.771	4.7551	-10.594	-13.206	2.4601	1
5.3193	16.373	-0.61211	-5.4592	-19.512	5.6247	1
2.8292	3.6998	7.0016	-8.5524	-7.2662	-0.096132	1
2.8564	10.656	5.109	-9.2852	-15.858	0.84321	1
1.7019	17.583	2.2676	3.6311	-8.6239	4.2342	1
5.7362	15.801	-0.82039	-2.7517	-18.354	6.3855	1
12.911	10.439	-3.1605	-1.616	-16.898	4.9651	1
6.0308	17.441	-1.7278	-4.0131	-20.028	7.7006	1
6.6899	10.751	3.0758	-7.7012	-19.701	5.5305	1
5.2974	11.603	1.1183	-6.8439	-20.673	5.3245	1
7.7996	7.0457	5.0582	-6.2158	-19.09	2.3042	1
3.7571	8.3542	8.056	-11.008	-19.71	3.0706	1
6.933	8.7147	5.2338	-8.7977	-19.312	1.6261	1
7.3706	10.711	3.9109	-5.4579	-19.776	2.474	1
10.848	5.6845	4.0852	-3.652	-20.046	0.66981	1
9.8008	7.1671	4.4124	-5.1882	-19.086	1.7155	1
6.9349	15.339	-0.5093	-4.3116	-19.713	6.6046	1
8.9038	14.396	-0.25995	-3.5921	-20.483	6.4687	1
5.8574	17.889	-2.3627	-14.558	-17.786	0.063956	1
8.2418	5.8781	6.2903	-14.152	-19.978	0.44508	1
12.511	9.0259	2.773	-1.6299	-20.05	2.1716	1
4.1605	18.341	0.83404	-6.6958	-21.134	6.6946	1
8.7663	12.536	-1.9487	-3.3539	-20.258	4.9285	1
